line,over,sport_baseball,sport_basketball,sport_basketball_first_half,sport_esports,sport_football,sport_football_player_prop,sport_hockey,sport_other,sport_soccer
233.5,1,False,True,False,False,False,False,False,False,False
145.5,0,False,True,False,False,False,False,False,False,False
146.5,0,False,True,False,False,False,False,False,False,False
142.5,0,False,True,False,False,False,False,False,False,False
144.5,0,False,True,False,False,False,False,False,False,False
143.5,0,False,True,False,False,False,False,False,False,False
115.5,1,False,False,True,False,False,False,False,False,False
234.5,1,False,True,False,False,False,False,False,False,False
235.5,1,False,True,False,False,False,False,False,False,False
236.5,1,False,True,False,False,False,False,False,False,False
113.5,1,False,False,True,False,False,False,False,False,False
114.5,1,False,False,True,False,False,False,False,False,False
233.5,1,False,True,False,False,False,False,False,False,False
138.5,0,False,True,False,False,False,False,False,False,False
136.5,0,False,True,False,False,False,False,False,False,False
137.5,0,False,True,False,False,False,False,False,False,False
135.5,0,False,True,False,False,False,False,False,False,False
236.5,1,False,True,False,False,False,False,False,False,False
234.5,1,False,True,False,False,False,False,False,False,False
233.5,1,False,True,False,False,False,False,False,False,False
120.5,1,False,False,True,False,False,False,False,False,False
232.5,1,False,True,False,False,False,False,False,False,False
235.5,1,False,True,False,False,False,False,False,False,False
121.5,1,False,False,True,False,False,False,False,False,False
231.5,1,False,True,False,False,False,False,False,False,False
120.5,0,False,False,True,False,False,False,False,False,False
232.5,1,False,True,False,False,False,False,False,False,False
235.5,0,False,True,False,False,False,False,False,False,False
234.5,0,False,True,False,False,False,False,False,False,False
121.5,0,False,False,True,False,False,False,False,False,False
233.5,0,False,True,False,False,False,False,False,False,False
118.5,1,False,False,True,False,False,False,False,False,False
237.5,1,False,True,False,False,False,False,False,False,False
236.5,1,False,True,False,False,False,False,False,False,False
234.5,1,False,True,False,False,False,False,False,False,False
112.5,1,False,False,True,False,False,False,False,False,False
233.5,1,False,True,False,False,False,False,False,False,False
232.5,1,False,True,False,False,False,False,False,False,False
231.5,1,False,True,False,False,False,False,False,False,False
113.5,1,False,False,True,False,False,False,False,False,False
145.5,1,False,True,False,False,False,False,False,False,False
146.5,1,False,True,False,False,False,False,False,False,False
147.5,1,False,True,False,False,False,False,False,False,False
229.5,0,False,True,False,False,False,False,False,False,False
226.5,0,False,True,False,False,False,False,False,False,False
225.5,0,False,True,False,False,False,False,False,False,False
109.5,1,False,False,True,False,False,False,False,False,False
227.5,0,False,True,False,False,False,False,False,False,False
110.5,1,False,False,True,False,False,False,False,False,False
228.5,0,False,True,False,False,False,False,False,False,False
111.5,1,False,False,True,False,False,False,False,False,False
146.5,1,False,True,False,False,False,False,False,False,False
145.5,1,False,True,False,False,False,False,False,False,False
147.5,1,False,True,False,False,False,False,False,False,False
150.5,0,False,True,False,False,False,False,False,False,False
151.5,0,False,True,False,False,False,False,False,False,False
